	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	año	id_distrito	distrito	id_barrio	barrio	id_uso	uso	num_inmuebles	año_cons_medio	sup_cons	sup_suelo	valor_catastral	nueva_columna
0	0	0	0	0	0	0	2014	1	Centro	11	PALACIO	A	Almacén-Estacionamiento	3034	1969.0	214457.0		129525903.84	27777736759814.88
1	1	1	1	1	1	1	2014	1	Centro	11	PALACIO	C	Comercial	1407	1921.0	223552.0		407605466.44	91121017233594.88
2	2	2	2	2	2	2	2014	1	Centro	11	PALACIO	E	Cultural	36	1937.0	62963.0		75828716.0	4774403445508.0
3	3	3	3	3	3	3	2014	1	Centro	11	PALACIO	G	Ocio y Hostelería	254	1919.0	114226.0		195413848.02	22321342203932.52
4	4	4	4	4	4	4	2014	1	Centro	11	PALACIO	I	Industrial	22	1942.0	13228.0		11807949.49	156195555853.72
5	5	5	5	5	5	5	2014	1	Centro	11	PALACIO	K	Deportivo	8	1946.0	7238.0		10614658.96	76828901552.48001
6	6	6	6	6	6	6	2014	1	Centro	11	PALACIO	M	Suelos sin edificar, obras de urbanización y jardinería	47			130010.0	19915201.81	
7	7	7	7	7	7	7	2014	1	Centro	11	PALACIO	O	Oficinas	559	1947.0	196893.0		340784134.7	67098010633487.09
8	8	8	8	8	8	8	2014	1	Centro	11	PALACIO	P	Edificio Singular	15	1891.0	197518.0		281666751.43	55634253408950.74
9	9	9	9	9	9	9	2014	1	Centro	11	PALACIO	R	Religioso	17	1884.0	102718.0		114254183.76	11735961247459.68
10	10	10	10	10	10	10	2014	1	Centro	11	PALACIO	T	Espectáculos	6	1941.0	86233.0		156383941.89	13485456461000.37
11	11	11	11	11	11	11	2014	1	Centro	11	PALACIO	V	Residencial	13133	1928.0	1367429.0		1856664182.99	2538856447081832.5
12	12	12	12	12	12	12	2014	1	Centro	11	PALACIO	Y	Sanidad y Beneficencia	11	1939.0	25101.0		25184133.43	632146933226.4299
13	13	13	13	13	13	13	2014	1	Centro	12	EMBAJADORES	A	Almacén-Estacionamiento	3989	1974.0	261306.0		140312140.59	36664404209010.54
14	14	14	14	14	14	14	2014	1	Centro	12	EMBAJADORES	C	Comercial	2630	1925.0	393880.0		574936352.75	226455930621170.0
15	15	15	15	15	15	15	2014	1	Centro	12	EMBAJADORES	E	Cultural	48	1920.0	184010.0		210333924.76	38703545495087.6
16	16	16	16	16	16	16	2014	1	Centro	12	EMBAJADORES	G	Ocio y Hostelería	114	1919.0	56970.0		88238015.63	5026919750441.1
17	17	17	17	17	17	17	2014	1	Centro	12	EMBAJADORES	I	Industrial	25	1938.0	3677.0		2699860.87	9927388418.99
18	18	18	18	18	18	18	2014	1	Centro	12	EMBAJADORES	K	Deportivo	2	1988.0	1092.0		1413430.17	1543465745.64
